CpuName,CpuNumberOfCores,CpuNumberOfThreads,CpuBaseClock,CpuCacheL1,CpuCacheL2,CpuCacheL3,CpuDieSize,CpuFrequency,CpuMultiplier,CpuProcessSize,CpuTDP,CpuNumberOfTransistors,CpuTurboClock
b'amd ryzen 5 1600x',6.0,12.0,100.0,576.0,3072.0,16.0,0.000192,3600.0,36.0,14.0,95.0,4800.0,4000.0
b'amd ryzen 5 2600',6.0,12.0,100.0,576.0,3072.0,16.0,0.000192,3400.0,34.0,12.0,65.0,4800.0,3900.0
b'amd ryzen 5 2600x',6.0,12.0,100.0,576.0,3072.0,16.0,0.000192,3600.0,36.0,12.0,95.0,4800.0,4250.0
b'amd ryzen 5 3600',6.0,12.0,100.0,576.0,3072.0,32.0,7.4e-05,3600.0,36.0,7.0,65.0,3800.0,4200.0
b'amd ryzen 5 3600x',6.0,12.0,100.0,576.0,3072.0,32.0,7.4e-05,3800.0,38.0,7.0,95.0,3800.0,4400.0
b'amd ryzen 7 1700x',8.0,16.0,100.0,768.0,4096.0,16.0,0.000192,3400.0,34.0,14.0,95.0,4800.0,3800.0
b'amd ryzen 7 3700x',8.0,16.0,100.0,768.0,4096.0,32.0,7.4e-05,3600.0,36.0,7.0,65.0,3800.0,4400.0
b'amd ryzen 7 3800x',8.0,16.0,100.0,768.0,4096.0,32.0,7.4e-05,3900.0,39.0,7.0,105.0,3800.0,4500.0
b'amd ryzen 9 3900x',12.0,24.0,100.0,1152.0,6144.0,64.0,7.4e-05,3800.0,38.0,7.0,105.0,3800.0,4600.0
b'intel core i3-7100',2.0,4.0,100.0,128.0,512.0,3.0,,3900.0,39.0,14.0,51.0,,3900.0
b'intel core i5-7500',4.0,4.0,100.0,256.0,1024.0,6.0,,3400.0,34.0,14.0,65.0,,3800.0
b'intel core i5-7600k',4.0,4.0,100.0,256.0,1024.0,6.0,,3800.0,38.0,14.0,91.0,,4200.0
b'intel core i5-8400',6.0,6.0,100.0,384.0,1536.0,9.0,,2800.0,28.0,14.0,65.0,,4000.0
b'intel core i5-8600k',6.0,6.0,100.0,384.0,1536.0,9.0,,3600.0,36.0,14.0,95.0,,4300.0
b'intel core i5-9400f',6.0,6.0,100.0,384.0,1536.0,9.0,,2900.0,29.0,14.0,65.0,,4100.0
b'intel core i7-7700k',4.0,8.0,100.0,256.0,1024.0,8.0,,4200.0,42.0,14.0,91.0,,4500.0
b'intel core i7-8700k',6.0,12.0,100.0,384.0,1536.0,12.0,,3700.0,37.0,14.0,95.0,,4700.0
b'intel core i7-9700k',8.0,8.0,100.0,512.0,2048.0,12.0,,3600.0,36.0,14.0,95.0,,4900.0
b'intel core i9-9900k',8.0,16.0,100.0,512.0,2048.0,16.0,,3600.0,36.0,14.0,95.0,,5000.0
